output_1,output_2,output_3
0.0,4.0,903.4071035143992
1.0,8.0,125.0965879623144
1.0,7.0,400.3123173619493
1.0,5.0,822.6714699132025
1.0,6.0,223.9463505341446
1.0,3.0,0.02931910823417638
1.0,10.0,146.1656980037191
0.0,6.0,988.6704905216956
0.0,0.0,972.6289267548696
0.0,3.0,1403.391518330437
1.0,1.0,-0.04653443565962334
1.0,2.0,54.03740136516353
1.0,3.0,228.7839485453273
1.0,1.0,33.97182252475243
1.0,6.0,62.26356524135164
0.0,2.0,1166.649594275876
1.0,6.0,65.74808188764247
1.0,1.0,22.02007266776326
1.0,2.0,0.02051323138266525
1.0,4.0,882.6230402600125
1.0,3.0,288.4960267100798
1.0,3.0,0.003019032371298636
1.0,1.0,-0.04052095588781413
0.0,5.0,1052.160305293938
1.0,1.0,82.46432415098676
1.0,13.0,523.7911277742177
1.0,1.0,0.004844190243602498
1.0,9.0,163.8790162240488
0.0,0.0,884.793105422367
1.0,2.0,36.73550531957466
1.0,1.0,-0.0008358234334764347
0.0,1.0,962.5683569398128
1.0,7.0,127.457320478016
0.0,2.0,1228.831449910788
1.0,1.0,0.01934560003519437
1.0,2.0,52.33370564405118
1.0,1.0,56.68477844568209
1.0,4.0,0.004944975623516257
1.0,5.0,60.04926854152339
0.0,3.0,1551.218457389413
1.0,1.0,63.14754541962948
1.0,4.0,712.8413600114842
1.0,3.0,99.12675712707991
1.0,7.0,326.1452603621233
1.0,1.0,43.61886273295799
1.0,1.0,0.003052531978710249
1.0,1.0,23.69329330079638
0.0,7.0,1138.363015279261
1.0,1.0,-0.0003785372980473767
1.0,1.0,-0.0002546050194496274
1.0,8.0,61.28660015893293
1.0,1.0,1266.500651037165
0.0,6.0,969.5324959613793
1.0,1.0,-0.02264260646245475
1.0,1.0,23.45121160265662
0.0,0.0,1029.71819222563
0.0,0.0,1053.881046974231
0.0,1.0,916.058322588226
1.0,1.0,3.634261980384852
1.0,6.0,104.4419707891308
1.0,1.0,71.04039414191224
1.0,10.0,36.20359670915882
1.0,7.0,487.7255533758373
1.0,7.0,216.6232069765511
0.0,3.0,986.7133971088036
1.0,5.0,124.1248666654614
1.0,3.0,287.6093168505205
1.0,3.0,21.84321249083884
1.0,1.0,18.75893954645495
1.0,2.0,63.60011024972857
1.0,1.0,415.1839641352412
1.0,9.0,30.380819749324
1.0,5.0,52.59750381681032
0.0,3.0,1159.579158886485
1.0,6.0,0.00531025655106987
1.0,6.0,417.8434759272862
1.0,2.0,51.99148647063551
0.0,0.0,1054.086672872436
0.0,0.0,614.3052984179933
1.0,7.0,73.82931025495516
1.0,8.0,40.27729139365739
1.0,7.0,97.62226208850754
1.0,2.0,0.01483600406504593
1.0,3.0,178.5588065153909
0.0,1.0,1224.872352199669
1.0,1.0,0.0375942102443787
0.0,5.0,1201.242826123849
0.0,6.0,953.3924892879652
1.0,5.0,-0.003816667351429714
1.0,1.0,791.8139555140028
0.0,4.0,984.5726886124456
1.0,2.0,274.0632992949627
1.0,5.0,200.2426432266923
1.0,6.0,138.679483166784
1.0,7.0,-0.03356253444098911
1.0,1.0,56.49882960938287
0.0,1.0,1213.399498304881
1.0,7.0,91.5639569172069
1.0,3.0,679.8742097316277
1.0,5.0,193.4907671098754
1.0,4.0,593.0074980580284
1.0,3.0,124.5883915525354
1.0,4.0,454.8975812541482
1.0,1.0,-0.001775676503825707
1.0,1.0,64.8996764344646
0.0,5.0,1053.542035212321
1.0,3.0,0.03740166721786409
0.0,2.0,1307.942169739718
1.0,1.0,0.02075372664194219
0.0,0.0,1224.880111569501
1.0,2.0,86.48019240468001
1.0,6.0,396.6178500239383
0.0,6.0,1080.642383044798
1.0,2.0,0.003327039731971126
1.0,3.0,0.0280126095583455
1.0,1.0,81.50003155263275
1.0,8.0,129.4590246791181
0.0,1.0,836.6426565721321
1.0,17.0,193.4725121208356
0.0,0.0,918.2855250475332
1.0,14.0,186.5371774363473
1.0,8.0,0.02696734790902156
1.0,1.0,0.003956902764343795
0.0,0.0,743.6316676270246
1.0,5.0,70.27717035399998
1.0,1.0,0.03425881501425465
1.0,9.0,156.2781273812226
1.0,6.0,-0.003930137617658147
1.0,1.0,64.56189496729702
1.0,2.0,49.26962742699769
